desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
NGC5913,,GAL_SA,---,15.34833,-2.5781,1.85,14.6,B,23.76
NGC5930,,GAL_SAB,Boo,15.43556,41.6758,1.85,13.0,B,22.71
NGC6094,,GAL_S0,UMi,16.10917,72.4942,1.85,14.6,B,24.49
IC1245,,GAL_S0,Her,17.21028,38.0203,1.85,15.0,B,24.72
IC1265,,GAL_SA,Her,17.61056,42.0883,1.85,14.3,B,23.62
NGC7252,,GAL_S0,Aqr,22.34556,-24.6781,1.85,12.06,V,22.88
NGC7549,,GAL_SA,Peg,23.25444,19.0417,1.85,14.1,B,23.4
NGC312,,GAL_E,Phe,0.93778,-52.7828,1.84,13.4,B,23.59
IC1695,,GAL_E,Psc,1.41889,8.6994,1.84,14.87,B,25.25
NGC933,,GAL_SA,And,2.48806,45.9111,1.84,15.5,B,24.86
NGC1026,,GAL_S0,Cet,2.65528,6.5439,1.84,14.1,B,24.13
IC302,,GAL_SA,Cet,3.21417,4.7069,1.84,13.0,V,23.34
IC2487,,GAL_SA,Leo,9.50222,20.0908,1.84,14.2,B,23.31
IC2534,,GAL_S0A,Ant,10.025,-34.1122,1.84,13.38,B,23.45
NGC4603A,,GAL_GENERIC,Cen,12.66028,-40.74,1.84,14.24,B,23.45
IC3826,,GAL_S0,Vir,12.84417,-9.0308,1.84,14.26,B,24.24
NGC4777,,GAL_SAB,Vir,12.89944,-8.7756,1.84,14.5,B,23.64
NGC4953,,GAL_S0A,Cen,13.10278,-37.5856,1.84,14.12,B,24.13
IC4197,,GAL_ES0,Hya,13.13417,-23.7967,1.84,13.5,B,23.59
NGC5218,,GAL_SB,UMa,13.53583,62.7675,1.84,13.1,B,22.86
NGC5949,,GAL_SA,Dra,15.46667,64.7631,1.84,12.7,B,22.25
NGC6269,,GAL_E,Her,16.96583,27.8542,1.84,13.73,V,23.61
NGC6911,,GAL_SB,Dra,20.32694,66.7281,1.84,15.7,B,24.78
NGC7137,,GAL_SAB,Peg,21.80333,22.1594,1.84,13.3,B,23.02
IC5269,,GAL_S0,PsA,22.96194,-36.0258,1.84,13.48,B,23.23
NGC7537,,GAL_SA,Psc,23.24306,4.4983,1.84,13.8,B,22.92
NGC7661,,GAL_GENERIC,Tuc,23.45389,-65.2706,1.84,14.11,B,23.76
IC1532,,GAL_SB,Tuc,0.16444,-64.3719,1.83,14.83,B,23.9
IC1574,,GAL_IRR,Cet,0.71778,-22.2467,1.83,14.35,V,23.67
